"credits","delivery","duration","id","institute_id","mnqf__id","mnqf__level","mnqf__title","modality","name"
"240","Full-Time","2 YEARS","1242","21","6","6","ADVANCED DIPLOMA","FACE TO FACE","ADVANCED DIPLOMA OF TEACHING (EARLY CHILDHOOD)"
"240","Full-Time","2 YEARS","1243","21","6","6","ADVANCED DIPLOMA","FACE TO FACE","ADVANCED DIPLOMA OF TEACHING (PRIMARY)"
"null","null","null","1385","21","7","7","BACHELOR'S DEGREE","null","BACHELOR OF BUSINESS ADMINISTRATION (HONOURS)"
"null","null","null","1386","21","7","7","BACHELOR'S DEGREE","null","BACHELOR OF INFORMATION TECHNOLOGY (HONOURS)"
"null","null","null","1387","21","7","7","BACHELOR'S DEGREE","null","BACHELOR OF EDUCATIONAL ADMINISTRATION (HONOURS)"
"null","null","null","1388","21","7","7","BACHELOR'S DEGREE","null","BACHELOR OF EDUCATION (TEACHING ENGLISH AS A SECOND LANGUAGE) - HONORS"
"null","null","null","1389","21","7","7","BACHELOR'S DEGREE","null","BACHELOR OF BUSINESS ADMINISTRATION WITH HONOURS"
"360","Full-Time","3 YEARS","1390","21","7","7","BACHELOR'S DEGREE","FACE-TO-FACE","BACHELOR OF EARLY CHILDHOOD EDUCATION"
"null","null","3 YEARS","1391","21","7","7","BACHELOR'S DEGREE","null","BACHELOR OF TEACHING (PRIMARY)"
"null","null","3 YEARS","1392","21","7","7","BACHELOR'S DEGREE","null","BACHELOR OF LAWS"
"null","null","3.5 YEARS","1393","21","7","7","BACHELOR'S DEGREE","null","BACHELOR OF ARTS IN TOURISM MANAGEMENT"
"null","null","3 YEARS ","1394","21","7","7","BACHELOR'S DEGREE","null","ACCA PROFESSIONAL LEVEL -  AWARDED BY ACCA"
"360","FULL TIME ","3 YEARS ","1395","21","7","7","BACHELOR'S DEGREE","FACE TO FACE","BA (HONS) BUSINESS MANAGEMENT WITH MARKETING - AWARDED BY UNIVERSITY OF THE WEST OF ENGLAND"
"360","FULL TIME ","3 YEARS ","1396","21","7","7","BACHELOR'S DEGREE","FACE TO FACE","BA (HONS) ACCOUNTING AND FINANCE - AWARDED BY UNIVERSITY OF THE WEST OF ENGLAND"
"360","FULL TIME ","3 YEARS ","1397","21","7","7","BACHELOR'S DEGREE","FACE TO FACE","BA (HONS) BUSINESS AND HUMAN RESOURCE MANAGEMENT - AWARDED BY UNIVERSITY OF THE WEST OF ENGLAND"
"360","FULL TIME ","3 YEARS ","1398","21","7","7","BACHELOR'S DEGREE","FACE TO FACE","BA (HONS) BUSINESS AND MANAGEMENT - AWARDED BY UNIVERSITY OF THE WEST OF ENGLAND"
"360","null","3 YEARS ","1399","21","7","7","BACHELOR'S DEGREE","FACE TO FACE","BSC IN BUSINESS INFORMATION TECHNOLOGY"
"360","null","3 YEARS ","1400","21","7","7","BACHELOR'S DEGREE","FACE TO FACE","BSC IN COMPUTER SCIENCE"
"360","null","3 YEARS ","1401","21","7","7","BACHELOR'S DEGREE","FACE TO FACE","BACHELOR OF TEACHING MATHEMATICS"
