Name,Type,Ownership,Atoll/Island,Address,Level
Maritime Academy of Maldives,Specialised/ Mobile/ Open Learning,Private,K.Male',G.Villa/ Rai villa Goalhi,Certificate/ Diploma
Mauhadh Islaamiyya,Mobile,Private,K.Male',Hulhumale Flat #:20-01- 03,Certificate/ Diploma/ Degree
Mentor Mobile Education and Training,Mobile,Private,Lh.Hinnavaru,Manaal,Certificate
Maldives Media Institute,Specialised,Government,K.Male',Raajje Radio Building/ Ameenee Magu,Certificate/ Diploma
National Skills Certificate Unit,Others,Government,K.Male',Vocational Skills Development,Certificate
Nazim Driving School/ K.Male’,Mobile,Private,K.Male',G.Saima,Licence
Nexcel,Post secondary/ Mobile,Private,K.Male',Galolhu Madharusaa,Certificate/ Diploma
Oriental Academic Centre/ K.Male’,Specialised,Private,K.Male',G.Kudhifeyru vaadhee,Primary/ Middle School/ Secondary
Institute for Security and Law Enforcment Studies,College,Government,K.Male',Iskandharu Koshi,Certificate/ Diploma/ Degree
Port Training Centre,Specialised,Government,K.Male',Port Training Centre/ Boduthakurufaanu magu,Certificate
Prime Training Centre,Mobile,Private,K.Male',H.Relik,Certificate
Professional Studies Academy/ K.Male’,Specialised,Private,K.Male',H.Hulhugali,Certificate
Professional Training Centre,Mobile,Private,Ga.Nilandhoo,Kashmeeru,Certificate/ Diploma
Public Relations Training Services,Mobile,Private,K.Male',M.Maakoani/ Rabe eehingun,Certificate
Public Safety and Professional Studies Training School,Specialised/ Mobile,Private,K.Male',M.Rankuri/ 2nd floor/ Carneyshan Magu,Certificate
Reach Learning Centre,Post Secondary Institution,Private,Hulhumale,Commercial Unit B1-01,Secondary Tuition
Resource Computer Training Centre,Mobile,Private,S.Hithadhoo,Dhoores,Certificate
Safeway Driving school/K.Male',Specialised,Private,K.Male',M.Aa alimas,Licence
School For Professional Studies,Specialised/ Mobile,Private,K.Male',G.Greysas,Certificate
School of Health Sciences- A.D.K Hospital,Specialised,Private,K.Male',ADK Hospital/ Sosun Magu,Certificate/ Diploma
Shameema Jaree/ K.Male’,Mobile,Private,K.Male',Ma.Fehiali,Certificate
Silver Computer Training Centre/ GDh.Thinadhoo,Specialised,Private,GDh.Thinadhoo,Athireege,Certificate
Smart Education Centre,Mobile,Private,K.Male',M.Hali,Certificate
The Language Learning Centre/ K.Male’,Specialised,Private,K.Male',M.Vinsan,Certificate
